Date,Series,Value
9/30/2016,Housing debt to housing assets,26.6
12/31/2016,Housing debt to housing assets,25.8
3/31/2017,Housing debt to housing assets,25.6
6/30/2017,Housing debt to housing assets,25.4
9/30/2017,Housing debt to housing assets,25.7
12/31/2017,Housing debt to housing assets,25.4
3/31/2018,Housing debt to housing assets,25.7
6/30/2018,Housing debt to housing assets,26.1
9/30/2018,Housing debt to housing assets,26.6
12/31/2018,Housing debt to housing assets,27.1
3/31/2019,Housing debt to housing assets,27.9
6/30/2019,Housing debt to housing assets,27.8
9/30/2019,Housing debt to housing assets,27.1
12/31/2019,Housing debt to housing assets,26.5
3/31/2020,Housing debt to housing assets,26.2
6/30/2020,Housing debt to housing assets,26.6
9/30/2020,Housing debt to housing assets,26
12/31/2020,Housing debt to housing assets,25
3/31/2021,Housing debt to housing assets,23.9
6/30/2021,Housing debt to housing assets,23.2
9/30/2021,Housing debt to housing assets,22.2
12/31/2021,Housing debt to housing assets,21.4
3/31/2022,Housing debt to housing assets,21.4
6/30/2022,Housing debt to housing assets,22
9/30/2022,Housing debt to housing assets,22.9
12/31/2022,Housing debt to housing assets,23.1
3/31/2023,Housing debt to housing assets,23.3
6/30/2023,Housing debt to housing assets,22.9
9/30/2023,Housing debt to housing assets,22.7
12/31/2023,Housing debt to housing assets,22.3
3/31/2024,Housing debt to housing assets,22.2
6/30/2024,Housing debt to housing assets,22.1
9/30/2024,Housing debt to housing assets,22.2
12/31/2024,Housing debt to housing assets,22.2
3/31/2025,Housing debt to housing assets,22.2
6/30/1988,Household debt to income,63.5
9/30/1988,Household debt to income,63.8
12/31/1988,Household debt to income,65.7
3/31/1989,Household debt to income,67.2
6/30/1989,Household debt to income,69
9/30/1989,Household debt to income,67.9
12/31/1989,Household debt to income,67.6
3/31/1990,Household debt to income,67.9
6/30/1990,Household debt to income,69
9/30/1990,Household debt to income,66.8
12/31/1990,Household debt to income,67.2
3/31/1991,Household debt to income,68.2
6/30/1991,Household debt to income,69
9/30/1991,Household debt to income,69.5
12/31/1991,Household debt to income,71.3
3/31/1992,Household debt to income,71.3
6/30/1992,Household debt to income,71.8
9/30/1992,Household debt to income,73
12/31/1992,Household debt to income,72.1
3/31/1993,Household debt to income,71.6
6/30/1993,Household debt to income,74.7
9/30/1993,Household debt to income,74.9
12/31/1993,Household debt to income,76.2
3/31/1994,Household debt to income,77.1
6/30/1994,Household debt to income,80
9/30/1994,Household debt to income,81.5
12/31/1994,Household debt to income,82.3
3/31/1995,Household debt to income,82.7
6/30/1995,Household debt to income,83
9/30/1995,Household debt to income,84.1
12/31/1995,Household debt to income,86.2
3/31/1996,Household debt to income,87.2
6/30/1996,Household debt to income,88.3
9/30/1996,Household debt to income,88.6
12/31/1996,Household debt to income,89.5
3/31/1997,Household debt to income,90
6/30/1997,Household debt to income,91.5
9/30/1997,Household debt to income,93.4
12/31/1997,Household debt to income,96.9
3/31/1998,Household debt to income,98.1
6/30/1998,Household debt to income,101.6
9/30/1998,Household debt to income,102.5
12/31/1998,Household debt to income,105.2
3/31/1999,Household debt to income,106.2
6/30/1999,Household debt to income,108.3
9/30/1999,Household debt to income,109
12/31/1999,Household debt to income,110.6
3/31/2000,Household debt to income,110.9
6/30/2000,Household debt to income,115
9/30/2000,Household debt to income,113.7
12/31/2000,Household debt to income,114.6
3/31/2001,Household debt to income,115.2
6/30/2001,Household debt to income,115.1
9/30/2001,Household debt to income,117
12/31/2001,Household debt to income,118.4
3/31/2002,Household debt to income,119.6
6/30/2002,Household debt to income,125.1
9/30/2002,Household debt to income,130.2
12/31/2002,Household debt to income,133.4
3/31/2003,Household debt to income,137.1
6/30/2003,Household debt to income,139.8
9/30/2003,Household debt to income,142
12/31/2003,Household debt to income,145
3/31/2004,Household debt to income,146.9
6/30/2004,Household debt to income,149
9/30/2004,Household debt to income,150.6
12/31/2004,Household debt to income,151.1
3/31/2005,Household debt to income,152.1
6/30/2005,Household debt to income,155
9/30/2005,Household debt to income,154.8
12/31/2005,Household debt to income,157.4
3/31/2006,Household debt to income,158.6
6/30/2006,Household debt to income,163.3
9/30/2006,Household debt to income,164.2
12/31/2006,Household debt to income,164.4
3/31/2007,Household debt to income,163.3
6/30/2007,Household debt to income,166.2
9/30/2007,Household debt to income,164.5
12/31/2007,Household debt to income,164.8
3/31/2008,Household debt to income,163.9
6/30/2008,Household debt to income,164.5
9/30/2008,Household debt to income,163.1
12/31/2008,Household debt to income,160.5
3/31/2009,Household debt to income,159.6
6/30/2009,Household debt to income,160.2
9/30/2009,Household debt to income,162.8
12/31/2009,Household debt to income,164.6
3/31/2010,Household debt to income,164.8
6/30/2010,Household debt to income,166.6
9/30/2010,Household debt to income,165.2
12/31/2010,Household debt to income,164.5
3/31/2011,Household debt to income,163.7
6/30/2011,Household debt to income,163.3
9/30/2011,Household debt to income,161.7
12/31/2011,Household debt to income,160.9
3/31/2012,Household debt to income,161.1
6/30/2012,Household debt to income,161.8
9/30/2012,Household debt to income,162.3
12/31/2012,Household debt to income,163.1
3/31/2013,Household debt to income,163.3
6/30/2013,Household debt to income,166
9/30/2013,Household debt to income,165.4
12/31/2013,Household debt to income,167.1
3/31/2014,Household debt to income,167.2
6/30/2014,Household debt to income,168.4
9/30/2014,Household debt to income,168
12/31/2014,Household debt to income,168.8
3/31/2015,Household debt to income,170
6/30/2015,Household debt to income,172.3
9/30/2015,Household debt to income,172.9
12/31/2015,Household debt to income,174.5
3/31/2016,Household debt to income,176
6/30/2016,Household debt to income,178.9
9/30/2016,Household debt to income,180.6
12/31/2016,Household debt to income,181.6
3/31/2017,Household debt to income,182.7
6/30/2017,Household debt to income,185
9/30/2017,Household debt to income,186.1
12/31/2017,Household debt to income,187
3/31/2018,Household debt to income,187.7
6/30/2018,Household debt to income,188.2
9/30/2018,Household debt to income,187.3
12/31/2018,Household debt to income,187.8
3/31/2019,Household debt to income,187.5
6/30/2019,Household debt to income,187.2
9/30/2019,Household debt to income,185.7
12/31/2019,Household debt to income,186.3
3/31/2020,Household debt to income,186.3
6/30/2020,Household debt to income,183.8
9/30/2020,Household debt to income,180.8
12/31/2020,Household debt to income,180
3/31/2021,Household debt to income,179.5
6/30/2021,Household debt to income,182.3
9/30/2021,Household debt to income,183.7
12/31/2021,Household debt to income,184.9
3/31/2022,Household debt to income,185.1
6/30/2022,Household debt to income,185.2
9/30/2022,Household debt to income,185
12/31/2022,Household debt to income,184.9
3/31/2023,Household debt to income,184.8
6/30/2023,Household debt to income,184.8
9/30/2023,Household debt to income,184.3
12/31/2023,Household debt to income,183.2
3/31/2024,Household debt to income,182.6
6/30/2024,Household debt to income,182.9
9/30/2024,Household debt to income,181.6
12/31/2024,Household debt to income,181.6
3/31/2025,Household debt to income,181
9/30/1988,Housing debt to income,32
12/31/1988,Housing debt to income,32.3
3/31/1989,Housing debt to income,33
6/30/1989,Housing debt to income,33
9/30/1989,Housing debt to income,31.9
12/31/1989,Housing debt to income,31.8
3/31/1990,Housing debt to income,31.5
6/30/1990,Housing debt to income,31.6
9/30/1990,Housing debt to income,31.4
12/31/1990,Housing debt to income,31.9
3/31/1991,Housing debt to income,32.4
6/30/1991,Housing debt to income,33.2
9/30/1991,Housing debt to income,33.9
12/31/1991,Housing debt to income,35
3/31/1992,Housing debt to income,35.2
6/30/1992,Housing debt to income,35.9
9/30/1992,Housing debt to income,36.6
12/31/1992,Housing debt to income,37.4
3/31/1993,Housing debt to income,38.4
6/30/1993,Housing debt to income,39.5
9/30/1993,Housing debt to income,40.9
12/31/1993,Housing debt to income,42.6
3/31/1994,Housing debt to income,44
6/30/1994,Housing debt to income,45.6
9/30/1994,Housing debt to income,47.1
12/31/1994,Housing debt to income,48.3
3/31/1995,Housing debt to income,49.1
6/30/1995,Housing debt to income,49.6
9/30/1995,Housing debt to income,49.9
12/31/1995,Housing debt to income,50.8
3/31/1996,Housing debt to income,51.4
6/30/1996,Housing debt to income,52
9/30/1996,Housing debt to income,51.9
12/31/1996,Housing debt to income,53.1
3/31/1997,Housing debt to income,53.7
6/30/1997,Housing debt to income,54.8
9/30/1997,Housing debt to income,55.7
12/31/1997,Housing debt to income,56.6
3/31/1998,Housing debt to income,58.2
6/30/1998,Housing debt to income,59.5
9/30/1998,Housing debt to income,60.5
12/31/1998,Housing debt to income,62.2
3/31/1999,Housing debt to income,63
6/30/1999,Housing debt to income,64.5
9/30/1999,Housing debt to income,65.9
12/31/1999,Housing debt to income,67
3/31/2000,Housing debt to income,67.7
6/30/2000,Housing debt to income,69.8
9/30/2000,Housing debt to income,70.7
12/31/2000,Housing debt to income,71.3
3/31/2001,Housing debt to income,71.9
6/30/2001,Housing debt to income,72.9
9/30/2001,Housing debt to income,74.9
12/31/2001,Housing debt to income,76.9
3/31/2002,Housing debt to income,78.7
6/30/2002,Housing debt to income,81
9/30/2002,Housing debt to income,84.5
12/31/2002,Housing debt to income,87.1
3/31/2003,Housing debt to income,89.5
6/30/2003,Housing debt to income,92.5
9/30/2003,Housing debt to income,95.6
12/31/2003,Housing debt to income,98.6
3/31/2004,Housing debt to income,101.1
6/30/2004,Housing debt to income,102.5
9/30/2004,Housing debt to income,103.6
12/31/2004,Housing debt to income,104.6
3/31/2005,Housing debt to income,104.4
6/30/2005,Housing debt to income,106.5
9/30/2005,Housing debt to income,106.7
12/31/2005,Housing debt to income,108.9
3/31/2006,Housing debt to income,109.3
6/30/2006,Housing debt to income,112.7
9/30/2006,Housing debt to income,113.3
12/31/2006,Housing debt to income,113.3
3/31/2007,Housing debt to income,112.2
6/30/2007,Housing debt to income,113.4
9/30/2007,Housing debt to income,113
12/31/2007,Housing debt to income,113.5
3/31/2008,Housing debt to income,113.1
6/30/2008,Housing debt to income,114.3
9/30/2008,Housing debt to income,113.5
12/31/2008,Housing debt to income,112.1
3/31/2009,Housing debt to income,112.5
6/30/2009,Housing debt to income,113.5
9/30/2009,Housing debt to income,114.7
12/31/2009,Housing debt to income,117.1
3/31/2010,Housing debt to income,118
6/30/2010,Housing debt to income,119.4
9/30/2010,Housing debt to income,119
12/31/2010,Housing debt to income,118.6
3/31/2011,Housing debt to income,118.4
6/30/2011,Housing debt to income,117.2
9/30/2011,Housing debt to income,116.9
12/31/2011,Housing debt to income,116.3
3/31/2012,Housing debt to income,116.4
6/30/2012,Housing debt to income,116.8
9/30/2012,Housing debt to income,117.6
12/31/2012,Housing debt to income,118
3/31/2013,Housing debt to income,118.4
6/30/2013,Housing debt to income,119.8
9/30/2013,Housing debt to income,118.4
12/31/2013,Housing debt to income,119.3
3/31/2014,Housing debt to income,119.5
6/30/2014,Housing debt to income,120.3
9/30/2014,Housing debt to income,120.9
12/31/2014,Housing debt to income,121.6
3/31/2015,Housing debt to income,122.5
6/30/2015,Housing debt to income,124.1
9/30/2015,Housing debt to income,124.7
12/31/2015,Housing debt to income,126
3/31/2016,Housing debt to income,127.4
6/30/2016,Housing debt to income,129.3
9/30/2016,Housing debt to income,131.1
12/31/2016,Housing debt to income,131.8
3/31/2017,Housing debt to income,132.7
6/30/2017,Housing debt to income,134.3
9/30/2017,Housing debt to income,135.2
12/31/2017,Housing debt to income,136
3/31/2018,Housing debt to income,136.3
6/30/2018,Housing debt to income,136.5
9/30/2018,Housing debt to income,135.9
12/31/2018,Housing debt to income,135.9
3/31/2019,Housing debt to income,135.5
6/30/2019,Housing debt to income,135.7
9/30/2019,Housing debt to income,134.9
12/31/2019,Housing debt to income,135.5
3/31/2020,Housing debt to income,135
6/30/2020,Housing debt to income,134.1
9/30/2020,Housing debt to income,132.8
12/31/2020,Housing debt to income,133
3/31/2021,Housing debt to income,133
6/30/2021,Housing debt to income,135.1
9/30/2021,Housing debt to income,136.5
12/31/2021,Housing debt to income,137.6
3/31/2022,Housing debt to income,138.1
6/30/2022,Housing debt to income,138.6
9/30/2022,Housing debt to income,138.8
12/31/2022,Housing debt to income,138.5
3/31/2023,Housing debt to income,138.1
6/30/2023,Housing debt to income,137.6
9/30/2023,Housing debt to income,136.9
12/31/2023,Housing debt to income,136.4
3/31/2024,Housing debt to income,135.4
6/30/2024,Housing debt to income,135.6
9/30/2024,Housing debt to income,134.9
12/31/2024,Housing debt to income,135.1
3/31/2025,Housing debt to income,134.4
3/31/1990,Owner-occupier housing debt to income,25.7
6/30/1990,Owner-occupier housing debt to income,26
9/30/1990,Owner-occupier housing debt to income,25.9
12/31/1990,Owner-occupier housing debt to income,26.3
3/31/1991,Owner-occupier housing debt to income,26.8
6/30/1991,Owner-occupier housing debt to income,27.3
9/30/1991,Owner-occupier housing debt to income,27.7
12/31/1991,Owner-occupier housing debt to income,28.8
3/31/1992,Owner-occupier housing debt to income,29.3
6/30/1992,Owner-occupier housing debt to income,29.7
9/30/1992,Owner-occupier housing debt to income,30.5
12/31/1992,Owner-occupier housing debt to income,31.4
3/31/1993,Owner-occupier housing debt to income,32.3
6/30/1993,Owner-occupier housing debt to income,33.3
9/30/1993,Owner-occupier housing debt to income,34.4
12/31/1993,Owner-occupier housing debt to income,35.6
3/31/1994,Owner-occupier housing debt to income,36.8
6/30/1994,Owner-occupier housing debt to income,38.2
9/30/1994,Owner-occupier housing debt to income,39.1
12/31/1994,Owner-occupier housing debt to income,39.6
3/31/1995,Owner-occupier housing debt to income,40.1
6/30/1995,Owner-occupier housing debt to income,40.4
9/30/1995,Owner-occupier housing debt to income,40.6
12/31/1995,Owner-occupier housing debt to income,41.2
3/31/1996,Owner-occupier housing debt to income,41.7
6/30/1996,Owner-occupier housing debt to income,42
9/30/1996,Owner-occupier housing debt to income,42.4
12/31/1996,Owner-occupier housing debt to income,42.6
3/31/1997,Owner-occupier housing debt to income,42.9
6/30/1997,Owner-occupier housing debt to income,43.4
9/30/1997,Owner-occupier housing debt to income,44.1
12/31/1997,Owner-occupier housing debt to income,44.5
3/31/1998,Owner-occupier housing debt to income,45.1
6/30/1998,Owner-occupier housing debt to income,46.2
9/30/1998,Owner-occupier housing debt to income,46.5
12/31/1998,Owner-occupier housing debt to income,47.2
3/31/1999,Owner-occupier housing debt to income,47.7
6/30/1999,Owner-occupier housing debt to income,47.6
9/30/1999,Owner-occupier housing debt to income,48.6
12/31/1999,Owner-occupier housing debt to income,48.8
3/31/2000,Owner-occupier housing debt to income,49.4
6/30/2000,Owner-occupier housing debt to income,50.2
9/30/2000,Owner-occupier housing debt to income,49.5
12/31/2000,Owner-occupier housing debt to income,49.6
3/31/2001,Owner-occupier housing debt to income,50.1
6/30/2001,Owner-occupier housing debt to income,50.6
9/30/2001,Owner-occupier housing debt to income,52.6
12/31/2001,Owner-occupier housing debt to income,54.4
3/31/2002,Owner-occupier housing debt to income,56.2
6/30/2002,Owner-occupier housing debt to income,58
9/30/2002,Owner-occupier housing debt to income,59.9
12/31/2002,Owner-occupier housing debt to income,61.3
3/31/2003,Owner-occupier housing debt to income,62.4
6/30/2003,Owner-occupier housing debt to income,63.5
9/30/2003,Owner-occupier housing debt to income,65
12/31/2003,Owner-occupier housing debt to income,66.7
3/31/2004,Owner-occupier housing debt to income,68.5
6/30/2004,Owner-occupier housing debt to income,69.3
9/30/2004,Owner-occupier housing debt to income,70.5
12/31/2004,Owner-occupier housing debt to income,71.8
3/31/2005,Owner-occupier housing debt to income,72.6
6/30/2005,Owner-occupier housing debt to income,73.8
9/30/2005,Owner-occupier housing debt to income,74.4
12/31/2005,Owner-occupier housing debt to income,75.9
3/31/2006,Owner-occupier housing debt to income,77.2
6/30/2006,Owner-occupier housing debt to income,78.9
9/30/2006,Owner-occupier housing debt to income,79.9
12/31/2006,Owner-occupier housing debt to income,79.7
3/31/2007,Owner-occupier housing debt to income,79.7
6/30/2007,Owner-occupier housing debt to income,79.6
9/30/2007,Owner-occupier housing debt to income,79.7
12/31/2007,Owner-occupier housing debt to income,80.1
3/31/2008,Owner-occupier housing debt to income,80.3
6/30/2008,Owner-occupier housing debt to income,80.4
9/30/2008,Owner-occupier housing debt to income,80.1
12/31/2008,Owner-occupier housing debt to income,79.5
3/31/2009,Owner-occupier housing debt to income,79.8
6/30/2009,Owner-occupier housing debt to income,80.2
9/30/2009,Owner-occupier housing debt to income,81.2
12/31/2009,Owner-occupier housing debt to income,82.7
3/31/2010,Owner-occupier housing debt to income,83.5
6/30/2010,Owner-occupier housing debt to income,84
9/30/2010,Owner-occupier housing debt to income,83.7
12/31/2010,Owner-occupier housing debt to income,83.2
3/31/2011,Owner-occupier housing debt to income,82.5
6/30/2011,Owner-occupier housing debt to income,82.1
9/30/2011,Owner-occupier housing debt to income,81.7
12/31/2011,Owner-occupier housing debt to income,81.6
3/31/2012,Owner-occupier housing debt to income,81.6
6/30/2012,Owner-occupier housing debt to income,81.4
9/30/2012,Owner-occupier housing debt to income,81.8
12/31/2012,Owner-occupier housing debt to income,82.1
3/31/2013,Owner-occupier housing debt to income,82.4
6/30/2013,Owner-occupier housing debt to income,83
9/30/2013,Owner-occupier housing debt to income,83
12/31/2013,Owner-occupier housing debt to income,83.1
3/31/2014,Owner-occupier housing debt to income,83.3
6/30/2014,Owner-occupier housing debt to income,83.4
9/30/2014,Owner-occupier housing debt to income,83.5
12/31/2014,Owner-occupier housing debt to income,83.8
3/31/2015,Owner-occupier housing debt to income,84.4
6/30/2015,Owner-occupier housing debt to income,85.1
9/30/2015,Owner-occupier housing debt to income,86.2
12/31/2015,Owner-occupier housing debt to income,88.1
3/31/2016,Owner-occupier housing debt to income,89.3
